Year,Region,Country,Country Code,Religion,Subreligion,Followers
1945,North America,United States of America,USA,Christianity,Protestant,66069671
1950,North America,United States of America,USA,Christianity,Protestant,73090083
1955,North America,United States of America,USA,Christianity,Protestant,79294628
1960,North America,United States of America,USA,Christianity,Protestant,90692928
1965,North America,United States of America,USA,Christianity,Protestant,94165803
1970,North America,United States of America,USA,Christianity,Protestant,93918347
1975,North America,United States of America,USA,Christianity,Protestant,93578909
1980,North America,United States of America,USA,Christianity,Protestant,101216516
1985,North America,United States of America,USA,Christianity,Protestant,107309700
1990,North America,United States of America,USA,Christianity,Protestant,132040181
1995,North America,United States of America,USA,Christianity,Protestant,123669458
2000,North America,United States of America,USA,Christianity,Protestant,115298736
2005,North America,United States of America,USA,Christianity,Protestant,117527349
2010,North America,United States of America,USA,Christianity,Protestant,119755961
1945,North America,Canada,CAN,Christianity,Protestant,4002534
1950,North America,Canada,CAN,Christianity,Protestant,4098000
1955,North America,Canada,CAN,Christianity,Protestant,4248720
1960,North America,Canada,CAN,Christianity,Protestant,4635491
1965,North America,Canada,CAN,Christianity,Protestant,5138863
1970,North America,Canada,CAN,Christianity,Protestant,5750190
1975,North America,Canada,CAN,Christianity,Protestant,6124060
1980,North America,Canada,CAN,Christianity,Protestant,6792962
1985,North America,Canada,CAN,Christianity,Protestant,7450000
1990,North America,Canada,CAN,Christianity,Protestant,7936000
1995,North America,Canada,CAN,Christianity,Protestant,8001536
2000,North America,Canada,CAN,Christianity,Protestant,8067073
2005,North America,Canada,CAN,Christianity,Protestant,8996090
2010,North America,Canada,CAN,Christianity,Protestant,7929127
1975,North America,Bahamas,BHM,Christianity,Protestant,100339
1980,North America,Bahamas,BHM,Christianity,Protestant,104580
1985,North America,Bahamas,BHM,Christianity,Protestant,109000
1990,North America,Bahamas,BHM,Christianity,Protestant,124600
1995,North America,Bahamas,BHM,Christianity,Protestant,148938
2000,North America,Bahamas,BHM,Christianity,Protestant,207870
2005,North America,Bahamas,BHM,Christianity,Protestant,219700
2010,North America,Bahamas,BHM,Christianity,Protestant,211798
1945,North America,Cuba,CUB,Christianity,Protestant,185865
1950,North America,Cuba,CUB,Christianity,Protestant,220852
